City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,112,Havre-Saint-Pierre,CA,2021-12-06 23:16:02,50.2334,-63.5986,30.2,100,90,16.11
113,113,Cabo San Lucas,MX,2021-12-06 23:12:32,22.8909,-109.9124,81.52,65,1,8.05
114,114,Komsomolskiy,UZ,2021-12-06 23:16:03,40.4272,71.7189,36.82,80,75,6.91
115,115,Lebu,CL,2021-12-06 23:16:03,-37.6167,-73.65,60.08,83,4,12.75
116,116,Nyurba,RU,2021-12-06 23:16:04,63.2842,118.3319,-26.28,100,75,3.69
117,117,Hualmay,PE,2021-12-06 23:16:04,-11.0964,-77.6139,67.96,82,67,8.88
118,118,Najran,SA,2021-12-06 23:16:04,17.4924,44.1277,54.25,37,0,1.43
119,119,Ostrovnoy,RU,2021-12-06 23:16:05,68.0531,39.5131,15.08,90,98,21.12
120,120,Rohnert Park,US,2021-12-06 23:15:46,38.3396,-122.7011,56.25,75,40,0.0
121,121,Guerrero Negro,MX,2021-12-06 23:16:05,27.9769,-114.0611,70.36,56,0,10.69
122,122,Tongliao,CN,2021-12-06 23:16:06,43.6125,122.2653,18.68,80,2,8.59
123,123,Manitouwadge,CA,2021-12-06 23:16:06,49.1215,-85.8403,2.12,90,100,11.95
124,124,Hithadhoo,MV,2021-12-06 23:16:07,-0.6,73.0833,81.82,76,47,17.54
125,125,Saskylakh,RU,2021-12-06 23:16:07,71.9167,114.0833,-17.12,96,98,7.0
126,126,Haines Junction,CA,2021-12-06 23:16:08,60.7522,-137.5108,15.78,97,100,2.8
127,127,Marsh Harbour,BS,2021-12-06 23:16:08,26.5412,-77.0636,77.29,83,28,11.63
128,128,Arraial Do Cabo,BR,2021-12-06 23:16:09,-22.9661,-42.0278,73.81,87,74,8.28
129,129,Severo-Kurilsk,RU,2021-12-06 23:16:09,50.6789,156.125,37.81,89,66,17.09
130,130,Hofn,IS,2021-12-06 23:16:10,64.2539,-15.2082,37.89,68,100,18.45
131,131,Camacha,PT,2021-12-06 23:16:10,33.0833,-16.3333,61.56,59,75,11.5
132,132,Charters Towers,AU,2021-12-06 23:16:11,-20.1,146.2667,82.71,53,24,12.1
133,133,Esperance,AU,2021-12-06 23:16:11,-33.8667,121.9,60.39,60,27,14.7
134,134,Alamogordo,US,2021-12-06 23:16:12,32.8995,-105.9603,59.67,29,1,5.01
135,135,Tukrah,LY,2021-12-06 23:16:12,32.5341,20.5791,58.5,59,29,32.97
136,136,Koszalin,PL,2021-12-06 23:16:12,54.1944,16.1722,30.67,89,98,5.91
137,137,Abu Samrah,SY,2021-12-06 23:16:13,35.3029,37.1841,52.29,50,61,7.58
138,138,Ixtapa,MX,2021-12-06 23:15:51,20.7,-105.2,80.22,74,20,6.91
139,139,Colon,PA,2021-12-06 23:16:14,9.3592,-79.9014,84.22,82,99,8.88
140,140,Hailey,US,2021-12-06 23:17:14,43.5196,-114.3153,32.9,79,90,4.61
141,141,Seymchan,RU,2021-12-06 23:17:15,62.8833,152.4333,-40.34,95,77,1.9
142,142,Yaring,TH,2021-12-06 23:17:15,6.8662,101.3689,76.28,82,100,8.95
143,143,Lokosovo,RU,2021-12-06 23:17:16,61.1333,74.8167,-14.22,96,95,4.68
144,144,Katsuura,JP,2021-12-06 23:17:16,35.1333,140.3,55.18,84,99,15.1
145,145,Broken Hill,AU,2021-12-06 23:17:16,-31.95,141.4333,68.5,43,16,19.04
146,146,Namibe,AO,2021-12-06 23:17:17,-15.1961,12.1522,72.07,65,0,4.59
147,147,Ponta Do Sol,PT,2021-12-06 23:17:17,32.6667,-17.1,65.03,69,68,8.14
148,148,Itarema,BR,2021-12-06 23:17:17,-2.9248,-39.9167,81.12,80,39,17.74
149,149,Manakara,MG,2021-12-06 23:17:18,-22.1333,48.0167,72.81,93,1,5.23
150,150,La Ronge,CA,2021-12-06 23:17:18,55.1001,-105.2842,-9.15,77,75,1.14
151,151,San Patricio,US,2021-12-06 23:17:19,28.017,-97.5169,69.66,55,100,17.94
152,152,Magrath,CA,2021-12-06 23:17:19,49.4167,-112.8686,17.92,85,85,3.44
153,153,Tiznit,MA,2021-12-06 23:17:20,29.5833,-9.5,59.4,30,0,5.46
154,154,Gat,IL,2021-12-06 23:17:20,31.61,34.7642,66.9,37,90,4.32
